From,To
@OrinLevine,@HelenMatzger
@IDEpiPhD,@HelenMatzger
@jeffchesen,@HillaryClinton
@kathymritchie,@HillaryClinton
@clevelandgreens,@HillaryClinton
@livinghispanic,@Hlth_Literacy
@microbiomom,@Hlth_Literacy
@orteli_99,@Hlth_Literacy
@newhousel,@HopeLizzy
@ChronOpinion,@HoustonChron
@aboutreed,@httpstwittercomWI_Chemtrails
@joegooding,"@IamMonicaRae,@noUpside,@joegooding,@rblotnicky"
@ColumbiaCoHHS,@Immunize_USA
@GreenMedInfo,@Immunize_USA
@DrPanMD,@Immunize_USA
@Immunize_USA,@Immunize_USA
@ATCarter07,@Inforwarrior2
@chiroroy,@Inforwarrior2
@the whole U.S.A.,@Inforwarrior2
@GeminisRegio,"@Iorverth,@matthewmercer"
@syafinazulkafli,@irkif10
@syafinazulkafli,@irkif10
@GlendaMcRose,"@itsbaxter,@BayAreaNonprofs,@vaxxedthemovie"
@dawterofliberty,"@itsbaxter,@GovPressOffice"
@CAWalks,"@itsbaxter,@vaxxedthemovie"
@NVICLoeDown,"@itsbaxter,@vaxxedthemovie"
@2ndfor1st,"@itsbaxter,@vaxxedthemovie"
@joegooding,@itsmepanda1
@LeahinLA,@itsmepanda1
@BassBabyDoll,@itsmepanda1
@2ndfor1st,@itsmepanda1
@DrPanMD,@itsmepanda1
@the_refusers,@itsmepanda1
@joegooding,@itsmepanda1
@Awithonelison,@itsmepanda1
@joegooding,"@itsmepanda1,@GeoffSchuler,@AutistasAngeles,@VeritasDolor"
@Awithonelison,"@itsmepanda1,@GeoffSchuler,@dkegel,@GidMK"
@TheStartupBot,"@itsmepanda1,@GeoffSchuler,@dkegel,@GidMK"
@Awithonelison,"@itsmepanda1,@GeoffSchuler,@dkegel,@GidMK,@BioWonk"
@Awithonelison,"@itsmepanda1,@GeoffSchuler,@dkegel,@GidMK,@BioWonk"
@joegooding,"@itsmepanda1,@joegooding,@DrPanMD,@â€¦"
@AnnaMarie_MN,@JanelB
@surfthespectrum,@JanelB
@SonOfJupit3r,@jdelugach
@jdelugach,@jdelugach
@Mofmars333,@jdelugach
@dawterofliberty,@jdelugach
@jdelugach,@jdelugach
@eiragwen,@JdIllustrates
@coloradoan,@JdIllustrates
@aafpprez,@JdIllustrates
@dawterofliberty,"@JeffereyJaxen,@RobSchneider"
@DotFranny,"@JeffereyJaxen,@RobSchneider"
@Paulthoughts,@jenmort2002
@EvelynPringle,@jenmort2002
@agreencleveland,@jenmort2002
@ClevelandNewDay,@jenmort2002
@theNCI,"@Jennifer_L_Moss,@theNCI,@NCIDrDoug"
@D6Coughlan,"@Jennifer_L_Moss,@theNCI,@NCIDrDoug"
@FarrahFazal,"@JenniferCBSLA,@CBSLA,@vaxxedthemovie"
@ShorealoneFilms,"@JenniferCBSLA,@CBSLA,@vaxxedthemovie"
@KNX1070,"@JenniferCBSLA,@CBSLA,@vaxxedthemovie"
@CBSLA,"@JenniferCBSLA,@CBSLA,@vaxxedthemovie"
@FondoKNXTraffic,"@JenniferCBSLA,@CBSLA,@vaxxedthemovie"
@teddywiningre2,@JenniferMarguli
@urbannana60,@JenniferMarguli
@kindabummed2016,@JenniferMarguli
@jdelugach,@JenniferMarguli
@dmilat68,"@JerryBrownGov,@GovPressOffice,@caleg,@CASenateDems,@BenAllenCA,@SenHannahBeth"
@dmilat68,"@JerryBrownGov,@GovPressOffice,@caleg,@CASenateDems,@BenAllenCA,@SenHannahBeth"
@dmilat68,"@JerryBrownGov,@GovPressOffice,@caleg,@CASenateDems,@BenAllenCA,@SenHannahBeth"
@dmilat68,"@JerryBrownGov,@GovPressOffice,@caleg,@CASenateDems,@BenAllenCA,@SenHannahBeth"
@_neurysm,@jimiecheng
@SANTINORICE,@jimiecheng
@jdelugach,@jimiecheng
@joegooding,"@joegooding,@CplBart,@IamMonicaRae,@doritmi,@Forbes"
@joegooding,"@joegooding,@doritmi"
@joegooding,"@joegooding,@doritmi,@ShantelWireman1,@handmadekathy"
@joegooding,"@joegooding,@DrPanMD,@doritmi,@SacBeeEditBoard,@LaLaRueâ€¦"
@joegooding,"@joegooding,@theMommyX,@Angelapaints,@ElizabethMcCra2,@doritmi,@drflanders"
@LeahinLA,"@joegooding,@TimBolen1"
@MoniGirolami,"@Jonathan,@Vax"
@OTCbike,"@jordyntruee,@OTCbike,@AngeliqueAshby,@DrPanMD,@Steinberg4Sac"
@AngeliqueAshby,"@jordyntruee,@OTCbike,@AngeliqueAshby,@DrPanMD,@Steinberg4Sac"
@vdashcom,@JosephLaurino
@kindabummed2016,@JosephLaurino
@OHPediatricians,@JosephLaurino
@croquetcrazy,@JournoJenkins67
@cynicq,@JournoJenkins67
@joegooding,"@Juliann990,@truthvaxwarrior,@TannersDad,@RepAndreCarson,@mission2heal"
@afullmargin,@JustADakota
@kfbk,"@KaitlinLewis15,@kfbk"
@kfbk,"@KaitlinLewis15,@Steinberg4Sac,@DrPanMD"
@SANTINORICE,"@KaitlinLewis15,@Steinberg4Sac,@DrPanMD"
@SANTINORICE,"@KaitlinLewis15,@Steinberg4Sac,@DrPanMD"
@SanDiegoCP,"@KaitlinLewis15,@Steinberg4Sac,@DrPanMD"
@SamEBNHPR,"@KaitlinLewis15,@Steinberg4Sac,@DrPanMD"
@SANTINORICE,"@KaitlinLewis15,@Steinberg4Sac,@DrPanMD"
@CAWalks,@kareennews
@boosterbook,@kath2cats
@vaxxedthemovie,@kellychronicles
@dreadpiraterose,@kendrawcandraw
@Yemeni_Proudly,@KentPage
@ashanker,@KentPage
@KaitlinLewis15,@kfbk
